swc_id,denRadius
17302_00099,90.08906530839884
17302_00101,93.49209276157113
17302_00102,130.5760188460243
17302_00103,105.78471256225662
17302_00105,88.58131179573792
17302_00106,99.0647816677752
17302_00108,120.42229167233457
17302_00110,125.76561720546798
17302_00112,100.21524911993578
17302_00113,126.6962317759154
17302_00114,92.31667186142025
17302_00115,95.54197311778877
17302_00116,79.88595786310437
17302_00117,126.33499851759471
17302_00118,76.92443960639574
17302_00119,89.7859258220905
17302_00120,69.8292211735765
17302_00121,90.58322140584917
17302_00123,131.4453766696722
17302_00124,117.67479534700615
17302_00125,126.84855986760756
17543_2434_x11441_y5587,114.28349856818295
17543_3308_x10077_y3766,88.88693336008451
17543_3471_x12087_y3637,138.91793453192477
17543_3705_x9619_y20864,113.5819854227546
17543_3828_x6023_y17044,95.6187316418476
17543_3842_x7369_y3542,156.18814061097814
17543_4868_x6727_y21047,102.53005987651082
17543_4926_x5833_y20277,99.34738421528543
17543_5296_x5131_y20385,135.65853477573938
17543_5334_x5066_y20381,154.88670457341178
17545_00001,124.49425232173499
17545_00003,110.85089560717604
17545_00004,123.82330970023607
17545_00006,118.03677608340857
17545_00007,114.96514672084547
17545_00008,114.93052871087141
17545_00023,100.38772402916167
17545_00024,128.03481361347332
17545_00025,130.0338686348705
17545_00026,119.04371571788646
17545_00027,107.82889273116777
17545_00028,105.14971973852874
17545_00029,115.66900724880595
17545_00030,112.49854172153886
17545_00040,108.07880840663019
17545_00041,131.4824366797177
17545_00044,120.74376548909399
17545_00045,134.63413524345873
17545_00046,73.40154506546044
17545_00047,112.75784139473588
17545_00048,88.47971866531978
17545_00050,133.7214185157357
17545_00052,135.25206046825468
17545_00053,125.92338998125767
17545_00054,86.13784206408015
17545_00055,140.59628024678022
17545_00056,122.14483130744847
17545_00057,118.68238030626944
17545_00058,102.28273334323043
17545_00059,122.10861744526213
17545_00060,113.47198964172676
17545_00063,117.16886971758477
17545_00064,148.77000306047483
17545_00065,126.69076227644173
17545_00066,99.93675156146872
17545_00067,108.50855628342728
17545_00068,88.88300032232533
17545_00071,128.84500042966522
17545_00073,109.64108548170968
17545_00074,103.7375857540658
17545_00075,93.10378321088373
17545_00078,103.76508574731731
17545_00081,116.01017156148143
17545_00082,96.45457971792935
17545_00084,132.15390613788153
17545_00085,133.8286418225447
17545_00088,85.16553977329002
17545_00089,166.8270419975149
17545_00091,89.78867063762665
17545_00092,97.39154354488171
17545_00093,127.9703569062395
17545_00094,79.28480027487262
17545_00095,112.03073126333287
17545_00110,113.85660440589459
17545_00111,101.13457258346334
17545_00113,103.09163692407391
17545_00115,133.01362741285342
17545_00116,131.57394511572218
17545_00118,112.78654111959663
17545_00119,133.918471011825
17545_00120,123.44548264361828
17545_00121,120.35359087491634
17545_00122,130.94645039558122
17545_00124,115.15126534885935
17545_00125,120.92781488654646
17545_00126,120.3801085075594
17545_00129,110.15804911769948
17545_00130,127.23610381876937
17545_00131,136.01913427652184
17545_00132,123.38174360252019
17545_00136,109.21396845166937
17545_00138,126.28968490139953
17545_00140,127.08048841970765
17545_00142,115.02258248636822
17545_00143,131.52780867246796
17545_00144,108.00831359574657
17545_00145,160.97927434077562
17545_00146,95.53840709808578
17545_00147,136.47749016082244
17545_00149,128.8393956172556
17545_00150,122.16829602515786
17545_00154,110.0477785803384
17545_00155,112.77570350367162
17545_00158,104.26432196425917
17545_00159,98.04972015910046
17545_00162,137.065325494128
17545_00163,125.976697315815
17545_00164,107.2466283399873
17545_00165,101.11394205413697
17545_00166,99.65644650764968
17545_00168,118.10485343515107
17545_00169,125.15499415600834
17545_00170,112.02508773443563
17545_00172,89.62189514055936
17545_00173,104.53043598703555
17545_00174,97.11575690044866
17545_00175,130.78502546514355
17545_00176,152.28270935823505
17545_00177,113.26421719091036
