,type,x,y,z,r,parent
17545_00028.swc,1,7020.675,4640.525000000001,9468.225,1.0,-1
17545_00029.swc,1,5522.275,4265.650000000001,9070.525,1.0,-1
17545_00030.swc,1,5190.3,3783.6,8913.775,1.0,-1
17545_00040.swc,1,4487.8,5180.75,8500.95,1.0,-1
17545_00041.swc,1,4808.599999999999,4953.65,8943.2,1.0,-1
17545_00044.swc,1,5384.075,4836.325,8615.025,1.0,-1
17545_00045.swc,1,5084.25,4495.55,8898.574999999999,1.0,-1
17545_00046.swc,1,4392.375,4228.150000000001,8668.525,1.0,-1
17545_00047.swc,1,4592.375,3993.425,8677.525,1.0,-1
17545_00048.swc,1,4142.75,4185.0,8201.05,1.0,-1
17545_00050.swc,1,4999.45,4217.175,8497.025,1.0,-1
17545_00052.swc,1,4186.3,4937.95,7675.849999999999,1.0,-1
17545_00053.swc,1,4643.575,4241.675,7379.875,1.0,-1
17545_00054.swc,1,7144.1,4203.0,8303.324999999999,1.0,-1
17545_00055.swc,1,7077.4,3974.225,8318.725,1.0,-1
17545_00056.swc,1,7204.6,3935.4,8152.849999999999,1.0,-1
17545_00057.swc,1,6835.224999999999,4722.9,7395.425,1.0,-1
17545_00058.swc,1,7174.45,4206.025000000001,7873.025,1.0,-1
17545_00059.swc,1,4489.325,3455.0750000000003,8260.825,1.0,-1
17545_00060.swc,1,4205.175,3607.975,8104.099999999999,1.0,-1
17545_00063.swc,1,5476.325,2917.875,8001.525,1.0,-1
17545_00064.swc,1,4063.25,3556.6249999999995,7896.474999999999,1.0,-1
17545_00065.swc,1,4980.9,3571.2000000000003,7399.8,1.0,-1
17545_00066.swc,1,4806.175,3119.8250000000003,7739.875000000001,1.0,-1
17545_00067.swc,1,5552.1,2812.175,7447.724999999999,1.0,-1
17545_00068.swc,1,4879.225,3144.0750000000003,6997.9,1.0,-1
17545_00071.swc,1,7039.799999999999,4229.375,7193.474999999999,1.0,-1
17545_00073.swc,1,7311.499999999999,4394.575,9754.5,1.0,-1
17545_00074.swc,1,7404.725,4316.775,9777.125,1.0,-1
17545_00075.swc,1,7393.174999999999,4077.475,8280.475,1.0,-1
17545_00078.swc,1,7255.925,3894.250000000001,8212.625,1.0,-1
17545_00081.swc,1,8192.1,3947.25,8172.400000000001,1.0,-1
17545_00082.swc,1,8431.9,3960.425,8127.150000000001,1.0,-1
17545_00084.swc,1,7420.2,4709.375,7398.75,1.0,-1
17545_00085.swc,1,7637.7,4760.900000000001,7620.05,1.0,-1
17545_00088.swc,1,7656.950000000001,3585.675,8521.375,1.0,-1
17545_00089.swc,1,7289.2,3601.5,8157.5,1.0,-1
17545_00091.swc,1,7860.9,3577.125,8146.85,1.0,-1
17545_00092.swc,1,7883.974999999999,3754.55,8321.65,1.0,-1
17545_00093.swc,1,7611.9,3197.775,8183.225,1.0,-1
17545_00094.swc,1,7751.049999999999,3242.025,8264.75,1.0,-1
17545_00095.swc,1,7767.55,3463.3,8009.25,1.0,-1
17545_00110.swc,1,6944.275000000001,4352.95,4386.675,1.0,-1
17545_00111.swc,1,4268.525000000001,3145.55,4230.299999999999,1.0,-1
17545_00113.swc,1,4172.35,3385.6250000000005,4017.375,1.0,-1
17545_00115.swc,1,4085.35,5195.474999999999,3636.7,1.0,-1
17545_00116.swc,1,4635.85,4785.175,3060.575,1.0,-1
17545_00118.swc,1,4931.075,5299.175,2780.325,1.0,-1
17545_00119.swc,1,5123.575000000001,5013.425,2804.9,1.0,-1
17545_00120.swc,1,5512.375,5156.625,2981.675,1.0,-1
17545_00121.swc,1,5622.099999999999,4937.5,3049.4,1.0,-1
17545_00122.swc,1,5131.150000000001,4935.3,2908.3,1.0,-1
17545_00124.swc,1,5175.950000000001,4835.775000000001,2572.5,1.0,-1
17545_00125.swc,1,4998.275000000001,4787.625,2568.25,1.0,-1
17545_00126.swc,1,5136.625,4676.1,2637.6,1.0,-1
17545_00129.swc,1,5280.975,4829.775,2689.325,1.0,-1
17545_00130.swc,1,5078.0,4532.725,2848.525,1.0,-1
17545_00131.swc,1,5053.224999999999,4451.55,2831.25,1.0,-1
17545_00132.swc,1,5025.674999999999,4472.05,2795.375,1.0,-1
17545_00136.swc,1,5050.025000000001,4649.5,2603.1,1.0,-1
17545_00138.swc,1,5114.4,4591.1,2537.125,1.0,-1
17545_00140.swc,1,5157.674999999999,4544.25,2598.1000000000004,1.0,-1
17545_00142.swc,1,7259.125,4886.15,3874.275,1.0,-1
17545_00143.swc,1,4440.650000000001,4080.875000000001,2932.1000000000004,1.0,-1
17545_00144.swc,1,4811.05,4280.599999999999,3227.85,1.0,-1
17545_00145.swc,1,5075.35,4076.525,3105.925,1.0,-1
17545_00146.swc,1,4927.900000000001,3951.875,3182.925,1.0,-1
17545_00147.swc,1,4260.925,3632.375,3374.7750000000005,1.0,-1
17545_00149.swc,1,5257.974999999999,3637.2,3134.125,1.0,-1
17545_00150.swc,1,4969.775,3896.05,2911.0,1.0,-1
17545_00154.swc,1,7088.65,3805.9,3864.275,1.0,-1
17545_00155.swc,1,5532.775000000001,3670.525,2840.925,1.0,-1
17545_00158.swc,1,4926.65,2940.375,4371.55,1.0,-1
17545_00159.swc,1,5562.474999999999,2770.2000000000003,4093.225,1.0,-1
17545_00162.swc,1,8078.675,4333.575,3835.45,1.0,-1
17545_00163.swc,1,8444.05,4051.6,3651.250000000001,1.0,-1
17545_00164.swc,1,8707.875,4472.15,3350.3250000000003,1.0,-1
17545_00165.swc,1,8558.475,4349.900000000001,3385.6250000000005,1.0,-1
17545_00166.swc,1,8520.5,4281.375,3355.625,1.0,-1
17545_00168.swc,1,7235.1,3725.500000000001,3589.85,1.0,-1
17545_00169.swc,1,7808.775,3882.075,3761.0,1.0,-1
17545_00170.swc,1,7772.2,3521.95,3693.6,1.0,-1
17545_00172.swc,1,7382.025000000001,3926.5,3532.3250000000003,1.0,-1
17545_00173.swc,1,8165.55,3606.8,3345.675,1.0,-1
17545_00174.swc,1,7534.675,3180.65,3553.225,1.0,-1
17545_00175.swc,1,6348.975,4853.65,6268.125,1.0,-1
17545_00176.swc,1,7280.325000000001,3412.475,3973.575,1.0,-1
17545_00177.swc,1,6085.250000000001,4240.55,6052.525,1.0,-1
17545_00178.swc,1,6221.525,5102.875,5293.55,1.0,-1
17545_00179.swc,1,8006.275,3717.925,3516.7499999999995,1.0,-1
17545_00180.swc,1,6267.224999999999,5094.35,6273.875,1.0,-1
17781_00001.swc,1,4160.349999999999,5744.0,3401.3,1.0,-1
17781_00003.swc,1,3818.6,4002.85,8063.9,1.0,-1
17781_00004.swc,1,5983.05,5034.8,2017.8,1.0,-1
17781_2184_x15071_y19950.swc,1,2789.125,4329.575,3975.8,1.0,-1
17781_2491_x13559_y38398.swc,1,3086.075,3813.2,8775.775,1.0,-1
17781_3668_x9453_y17266.swc,1,4789.974999999999,2684.4,3537.8,1.0,-1
17781_3819_x16144_y41186.swc,1,4839.950000000001,4291.8,9377.0,1.0,-1
17781_4095_x17570_y12460.swc,1,5258.625,5033.2,2168.925,1.0,-1
17781_4710_x13766_y10574.swc,1,5969.75,3805.7,1733.9,1.0,-1
17781_4874_x11466_y11924.swc,1,6236.975,3172.7250000000004,2173.3250000000003,1.0,-1
17781_5166_x11993_y10858.swc,1,6546.075000000001,3280.925,1891.15,1.0,-1
17781_5361_x17741_y11849.swc,1,6865.7,4975.025000000001,2267.225,1.0,-1
17781_5548_x15772_y8872.swc,1,7019.400000000001,4415.775,1353.875,1.0,-1
17781_5655_x10641_y11102.swc,1,7145.3,2898.025,1965.45,1.0,-1
17781_5894_x11460_y10079.swc,1,7452.925,3124.15,1692.8000000000002,1.0,-1
17781_6028_x9772_y42888.swc,1,7422.499999999999,2449.9,9702.3,1.0,-1
17781_6202_x7633_y12296.swc,1,7775.2,1967.175,2234.35,1.0,-1
17781_6228_x12697_y8412.swc,1,7925.3,3449.05,1227.3,1.0,-1
17781_6262_x6896_y13574.swc,1,7853.2,1725.9499999999998,2598.175,1.0,-1
17781_6270_x9494_y43380.swc,1,7736.400000000001,2344.5,9869.2,1.0,-1
17781_6287_x8230_y11645.swc,1,7926.099999999999,2175.175,2042.85,1.0,-1
17781_6325_x14423_y8278.swc,1,8081.325,3922.95,1273.125,1.0,-1
17781_6355_x6443_y33777.swc,1,7913.8,1590.975,7280.800000000001,1.0,-1
17781_6626_x22318_y13682.swc,1,8501.075,6133.599999999999,2738.3,1.0,-1
17781_6627_x22762_y14486.swc,1,8479.325,6271.925,2909.8,1.0,-1
17781_6643_x22317_y12822.swc,1,8534.099999999999,6141.375,2513.45,1.0,-1
17781_6802_x8324_y14113.swc,1,8631.574999999999,2183.325,2838.55,1.0,-1
17781_6866_x8954_y41812.swc,1,8493.6,2210.1,9420.125,1.0,-1
17781_6881_x22248_y12698.swc,1,8835.65,6083.75,2482.875,1.0,-1
17781_7132_x8998_y15272.swc,1,9072.4,2340.025,3156.625,1.0,-1
17781_7281_x18241_y11406.swc,1,9394.825,4908.475,2308.85,1.0,-1
17782_3138_x32805_y18352.swc,1,3401.0,4297.125,2978.85,1.0,-1
17782_3253_x33739_y18314.swc,1,3521.075,4292.875,2776.85,1.0,-1
17782_3284_x11909_y16428.swc,1,3290.575,3983.975,8322.35,1.0,-1
17782_3352_x11384_y16404.swc,1,3354.0,3997.025,8442.425,1.0,-1
17782_3487_x11014_y17041.swc,1,3511.0,4179.325,8526.275,1.0,-1
17782_3651_x35286_y18512.swc,1,4046.975,4475.099999999999,2466.6,1.0,-1
17782_3672_x34784_y19432.swc,1,4044.025,4774.55,2576.975,1.0,-1
17786_00001.swc,1,2009.275,4746.075,6955.825,1.0,-1
17786_00017.swc,1,1991.4,4862.2,6869.05,1.0,-1
17786_00022.swc,1,1901.525,4274.125,4380.95,1.0,-1
17786_00024.swc,1,2153.75,4208.375,4397.975,1.0,-1
17787_00007.swc,1,6368.875,3654.4,9231.925,1.0,-1
17787_00013.swc,1,4579.225,3745.725,7282.325,1.0,-1
17787_00014.swc,1,4560.85,4134.9,7702.174999999999,1.0,-1
17787_00019.swc,1,4756.6,3798.8,2499.7,1.0,-1
17787_00026.swc,1,6233.5,4496.075,9528.45,1.0,-1
17787_00029.swc,1,6195.775,4976.975,9464.775,1.0,-1
17787_00048.swc,1,4591.375,4754.625,2509.475,1.0,-1
17787_00049.swc,1,4811.2,4794.9,2261.125,1.0,-1
17787_00050.swc,1,4780.675,5003.349999999999,2485.0750000000003,1.0,-1
17787_4521_x5172_y12873.swc,1,5303.55,4576.825,9919.55,1.0,-1
17787_4690_x4440_y9176.swc,1,5295.349999999999,3306.05,10184.225,1.0,-1
17787_7070_x12739_y1410.swc,1,8252.55,384.55,7292.874999999999,1.0,-1
17788_3709_x6000_y8213.swc,1,4101.475,3035.525,9123.5,1.0,-1
